,names,means,spread
condition0,Original,52.35593,7.19829
condition1,OriginalInter,51.90909,5.642291
condition2,Side,60.33333,14.87303
condition3,SideInter,51.71429,7.516364
condition4,Slideshow,61.44737,14.79051
condition5,SlideshowInter,52.35714,11.58122
