,names,means,spread
condition0,Original,539.661,119.7166
condition1,OriginalInter,438.1364,78.9199
condition2,Side,405.1111,60.10905
condition3,SideInter,364.2286,51.67031
condition4,Slideshow,435.5,108.2516
condition5,SlideshowInter,358.9048,63.28513
