,names,means,spread
condition0,Original,525.6102,74.83251
condition1,OriginalInter,724.7727,134.1762
condition2,Side,453.3056,103.1803
condition3,SideInter,472.2857,78.64119
condition4,Slideshow,539.6842,99.41687
condition5,SlideshowInter,616.619,123.8574
