,names,means,spread
condition0,Original,372.661,117.2319
condition1,OriginalInter,248.6364,65.08163
condition2,Side,219.25,51.04959
condition3,SideInter,185.1429,35.47127
condition4,Slideshow,227.5,83.5634
condition5,SlideshowInter,209.619,52.48881
