,names,means,spread
condition0,Original,19,3.199321
condition1,OriginalInter,20.22727,6.345208
condition2,Side,19.08333,3.880354
condition3,SideInter,15.02857,1.187685
condition4,Slideshow,32.31579,18.24619
condition5,SlideshowInter,17.04762,3.057998
