,names,means,spread
condition0,Original,77.54237,13.96606
condition1,OriginalInter,99.43182,20.46802
condition2,Side,89.08333,16.66132
condition3,SideInter,88.17143,19.72777
condition4,Slideshow,95.5,27.54462
condition5,SlideshowInter,62.90476,9.599223
