,names,means,spread
condition0,Original,0.637931,0.1247651
condition1,OriginalInter,0.7380952,0.1345811
condition2,Side,0.6285714,0.1624141
condition3,SideInter,0.5714286,0.1663417
condition4,Slideshow,0.6388889,0.1591282
condition5,SlideshowInter,0.6341463,0.1492679
