,names,means,spread
condition0,Original,3.20339,0.2912407
condition1,OriginalInter,3.477273,0.3401248
condition2,Side,2.805556,0.3647537
condition3,SideInter,2.714286,0.4585725
condition4,Slideshow,2.684211,0.4316991
condition5,SlideshowInter,2.785714,0.3691055
