,names,means,spread
condition0,Original,2.626437,0.161554
condition1,OriginalInter,2.47619,0.230466
condition2,Side,2.647619,0.2124915
condition3,SideInter,2.580952,0.2278065
condition4,Slideshow,2.657407,0.2276396
condition5,SlideshowInter,2.634146,0.2221443
