,names,means,spread
condition0,Original,3.741379,0.1723537
condition1,OriginalInter,3.825397,0.2019118
condition2,Side,3.542857,0.2336253
condition3,SideInter,3.542857,0.2305343
condition4,Slideshow,3.481481,0.237769
condition5,SlideshowInter,3.447154,0.2344617
