,names,means,spread
condition0,Original,0.9655172,0.04736872
condition1,OriginalInter,0.952381,0.06518563
condition2,Side,0.9428571,0.07802119
condition3,SideInter,0.9142857,0.09409709
condition4,Slideshow,0.9166667,0.09156493
condition5,SlideshowInter,0.8780488,0.1014076
