,names,means,spread
condition0,Original,4.423729,0.2282437
condition1,OriginalInter,4.477273,0.2340381
condition2,Side,4.666667,0.2469323
condition3,SideInter,4.6,0.2156035
condition4,Slideshow,4.263158,0.3279665
condition5,SlideshowInter,4.285714,0.3008442
