,names,means,spread
condition0,Original,2.779661,0.2554637
condition1,OriginalInter,2.681818,0.2449249
condition2,Side,2.861111,0.2937641
condition3,SideInter,2.742857,0.3624062
condition4,Slideshow,2.842105,0.2509665
condition5,SlideshowInter,2.714286,0.2777091
