,names,means,spread
condition0,Original,3.237288,0.2477503
condition1,OriginalInter,3.340909,0.284577
condition2,Side,3.25,0.3347276
condition3,SideInter,3.171429,0.3454679
condition4,Slideshow,3.236842,0.3578455
condition5,SlideshowInter,2.952381,0.3190102
