,names,means,spread
condition0,Original,0.79661017,0.10359091
condition1,OriginalInter,0.75,0.1294239
condition2,Side,0.80555556,0.13111718
condition3,SideInter,0.62857143,0.16241405
condition4,Slideshow,0.76315789,0.13698843
condition5,SlideshowInter,0.7380952,0.1345811
