,names,means,spread
condition0,Original,0.5724138,0.05406797
condition1,OriginalInter,0.5714286,0.05271579
condition2,Side,0.5485714,0.06496562
condition3,SideInter,0.52,0.07905463
condition4,Slideshow,0.5722222,0.05663913
condition5,SlideshowInter,0.5268293,0.06084456
