,names,means,spread
condition0,Original,0.4827586,0.1074222
condition1,OriginalInter,0.5238095,0.1147711
condition2,Side,0.4714286,0.1378397
condition3,SideInter,0.4428571,0.1755148
condition4,Slideshow,0.5,0.1352504
condition5,SlideshowInter,0.402439,0.1405958
