,names,means,spread
condition0,Original,4.050847,0.248134
condition1,OriginalInter,4.25,0.2308619
condition2,Side,3.916667,0.2960614
condition3,SideInter,4.142857,0.3126753
condition4,Slideshow,3.894737,0.2643606
condition5,SlideshowInter,3.97619,0.3096317
