,names,means,spread
condition0,Original,0.7068966,0.1181678
condition1,OriginalInter,0.8333333,0.1140749
condition2,Side,0.6857143,0.1560424
condition3,SideInter,0.8285714,0.1266821
condition4,Slideshow,0.8611111,0.1145717
condition5,SlideshowInter,0.8292683,0.1166065
