,names,means,spread
condition0,Original,3.772414,0.1679515
condition1,OriginalInter,3.82381,0.2013645
condition2,Side,3.582857,0.2122058
condition3,SideInter,3.668571,0.1928034
condition4,Slideshow,3.6,0.2268554
condition5,SlideshowInter,3.487805,0.2190446
