,names,means,spread
condition0,Original,2.762712,0.2566526
condition1,OriginalInter,2.431818,0.2947721
condition2,Side,2.694444,0.3647537
condition3,SideInter,2.428571,0.2448484
condition4,Slideshow,2.736842,0.3442249
condition5,SlideshowInter,2.309524,0.2628727
