,names,means,spread
condition0,Original,4.067797,0.2545683
condition1,OriginalInter,4,0.2849821
condition2,Side,3.972222,0.3357381
condition3,SideInter,4.314286,0.2511705
condition4,Slideshow,3.736842,0.3520726
condition5,SlideshowInter,3.904762,0.3190102
