,names,means,spread
condition0,Original,3.440678,0.2691724
condition1,OriginalInter,3.818182,0.2648396
condition2,Side,3.472222,0.3357381
condition3,SideInter,3.457143,0.2822913
condition4,Slideshow,3.421053,0.3438069
condition5,SlideshowInter,3.547619,0.2770389
