,names,means,spread
condition0,Original,3.158867,0.1474246
condition1,OriginalInter,3.318027,0.1437837
condition2,Side,3.110204,0.1762773
condition3,SideInter,3.232653,0.1614522
condition4,Slideshow,3.186508,0.1637847
condition5,SlideshowInter,3.273519,0.1316294
