,names,means,spread
condition0,Original,3.677966,0.2698784
condition1,OriginalInter,3.840909,0.2985055
condition2,Side,3.333333,0.3492149
condition3,SideInter,3.057143,0.4170724
condition4,Slideshow,3.657895,0.3072529
condition5,SlideshowInter,3.380952,0.2750185
