,names,means,spread
condition0,Original,3.847458,0.2213025
condition1,OriginalInter,4.068182,0.1846645
condition2,Side,3.611111,0.2736136
condition3,SideInter,3.714286,0.2960073
condition4,Slideshow,3.736842,0.2632705
condition5,SlideshowInter,3.833333,0.2305812
