,names,means,spread
condition0,Original,5.482759,1.76812
condition1,OriginalInter,4.52381,1.565405
condition2,Side,5.628571,2.519331
condition3,SideInter,4.8,2.164702
condition4,Slideshow,5.416667,2.03532
condition5,SlideshowInter,3.463415,1.396171
