,names,means,spread
condition0,Original,12.31034,3.712017
condition1,OriginalInter,47.2381,16.66499
condition2,Side,24.2,7.703532
condition3,SideInter,58.65714,16.97815
condition4,Slideshow,19.47222,8.551662
condition5,SlideshowInter,38.07317,12.39767
