,names,means,spread
condition0,Original,34.82759,16.66443
condition1,OriginalInter,56.04762,29.90994
condition2,Side,76.08571,31.77261
condition3,SideInter,35.68571,24.48453
condition4,Slideshow,24.52778,13.41242
condition5,SlideshowInter,37,14.47654
